nome_variavel;descricao;tipo;segmento;expect
TotRmsAbvGrd;Quantidade total de quartos na moradia (acima do porão);Numérico;Space (Espaço);Alta
Functional;Descreve funcionalidades da casa sob garantia;Categórico;Building (Construção);Média
Fireplaces;Quantidade de lareiras da moradia;Numérico;Space (Espaço);Média
FireplaceQu;Qualidade das lareiras;Categórico;Building (Construção);Baixa
GarageType;Tipo de garagem da moradia;Categórico;Space (Espaço);Alta
GarageYrBlt;Ano de construção da garagem;Numérico;Building (Construção);Baixa
GarageFinish;Acabamento interno da garagem;Categórico;Building (Construção);Baixa
GarageCars;Tamanho da garagem relacionado a quantidade de carros possíveis;Numérico;Space (Espaço);Média
GarageArea;Área da garagem em metros quadrados;Numérico;Space (Espaço);Média
GarageQual;Qualidade da garagem;Categórico;Building (Construção);Baixa
GarageCond;Score que define as condições da garagem;Categórico;Building (Construção);Baixa
PavedDrive;Atributo que define a pavimentação da rua (dentro da moradia);Categórico;Building (Construção);Baixa
WoodDeckSF;Área do deck de madeira presente na moradia;Numérico;Space (Espaço);Média
OpenPorchSF;Área de varanda aberta na moradia;Numérico;Space (Espaço);Média
EnclosedPorch;Área de varanda fechada na moradia;Numérico;Space (Espaço);Média
3SsnPorch;Área de varande de três temporadas (?);Numérico;Space (Espaço);Baixa
ScreenPorch;Área de tela na varanda da moradia;Numérico;Space (Espaço);Média
PoolArea;Área de piscina presente na moradia;Numérico;Space (Espaço);Média
PoolQC;Qualidade da piscina;Categórico;Building (Construção);Média
Fence;Qualidade do cercado presente na moradia;Categórico;Building (Construção);Baixa
MiscFeature;Algumas features não inclusas nas demais categorias;Categórico;Building (Construção);Baixa
MiscVal;Valor das features não inclusas em critérios de quantidades;Numérico;Building (Construção);Baixa
MoSold;Mês no qual a venda da moradia foi efetivada;Numérico;Space (Espaço);Baixa
YrSold;Ano no qual a venda da moradia foi efetivada;Numérico;Space (Espaço);Baixa
SaleType;Tipo da venda;Categórico;Space (Espaço);Baixa
SaleCondition;Condições da venda;Categórico;Space (Espaço);Baixa
