anomes_scoragem,anomesdia_scoragem,datetime_sdoragem,unnamed:_0,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,model_score,score_bin
202009,20200914,,41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,0.3662245154767261,Faixa 5
202009,20200914,,42,44,male,1,own,little,moderate,6204,18,repairs,good,0.38325290460490147,Faixa 5
202009,20200914,,43,24,male,2,rent,moderate,little,6187,30,car,good,0.47705111220295826,Faixa 3
202009,20200914,,44,58,female,1,free,little,little,6143,48,car,bad,0.599381403333706,Faixa 1
202009,20200914,,45,35,female,3,own,little,,1393,11,car,good,0.21137445846192673,Faixa 10
202009,20200914,,46,39,male,2,own,quite rich,,2299,36,radio/TV,good,0.23939300679474593,Faixa 9
202009,20200914,,47,23,female,0,rent,quite rich,little,1352,6,car,good,0.35948115290965327,Faixa 6
202009,20200914,,48,39,male,1,own,little,,7228,11,car,good,0.30289339244872465,Faixa 7
202009,20200914,,49,28,female,2,own,moderate,,2073,12,radio/TV,good,0.24943012906153386,Faixa 8
202009,20200914,,50,29,male,1,own,,moderate,2333,24,furniture/equipment,good,0.3132949964814189,Faixa 7
202009,20200914,,51,30,male,3,own,little,moderate,5965,27,car,good,0.40891009737897555,Faixa 5
202009,20200914,,52,25,male,2,own,little,,1262,12,radio/TV,good,0.2575652587198612,Faixa 8
202009,20200914,,53,31,male,2,own,,,3378,18,car,good,0.21978892292598193,Faixa 9
202009,20200914,,54,57,male,2,free,little,moderate,2225,36,car,bad,0.5939465510300472,Faixa 2
202009,20200914,,55,26,male,1,own,,,783,6,car,good,0.2265129930322837,Faixa 9
202009,20200914,,56,52,male,3,own,,moderate,6468,12,radio/TV,bad,0.44328658885597727,Faixa 4
202009,20200914,,57,31,female,2,own,little,,9566,36,radio/TV,good,0.36871469203618357,Faixa 5
202009,20200914,,58,23,female,3,own,little,rich,1961,18,car,good,0.39440584637323584,Faixa 5
202009,20200914,,59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,0.5480260332869933,Faixa 2
202009,20200914,,60,27,male,2,own,little,moderate,1391,9,business,good,0.3430075598645588,Faixa 6
202009,20200914,,61,50,male,2,own,,moderate,1537,15,radio/TV,good,0.30158861979856944,Faixa 7
202009,20200914,,62,61,male,3,free,little,moderate,1953,36,business,bad,0.6122417648361657,Faixa 1
202009,20200914,,63,25,male,2,own,little,moderate,14421,48,business,bad,0.6351653736749022,Faixa 1
202009,20200914,,64,26,female,2,own,little,,3181,24,radio/TV,good,0.25039392472226746,Faixa 8
202009,20200914,,65,48,male,2,own,,,5190,27,repairs,good,0.22393433035211177,Faixa 9
202009,20200914,,66,29,female,2,own,little,,2171,12,radio/TV,good,0.24218132406431064,Faixa 9
202009,20200914,,67,22,male,2,own,rich,moderate,1007,12,car,good,0.4043937964843452,Faixa 5
202009,20200914,,68,37,male,2,free,little,,1819,36,education,bad,0.31286814796741375,Faixa 7
202009,20200914,,69,25,female,2,own,,,2394,36,radio/TV,good,0.27765094008421554,Faixa 7
202009,20200914,,70,30,female,2,own,little,,8133,36,car,good,0.3809131101039265,Faixa 5
202009,20200914,,71,46,male,1,rent,,,730,7,radio/TV,good,0.18636107061241888,Faixa 10
202009,20200914,,72,51,male,3,free,little,little,1164,8,vacation/others,good,0.31185892249411734,Faixa 7
202009,20200914,,73,41,female,1,own,little,moderate,5954,42,business,good,0.48240933583215895,Faixa 3
202009,20200914,,74,40,male,3,own,,little,1977,36,education,bad,0.49917362476178195,Faixa 3
202009,20200914,,75,66,male,3,free,little,little,1526,12,car,good,0.3589691754778153,Faixa 6
202009,20200914,,76,34,male,2,own,little,little,3965,42,radio/TV,bad,0.600087159486911,Faixa 1
202009,20200914,,77,51,male,2,own,little,moderate,4771,11,radio/TV,good,0.4077037081219092,Faixa 5
202009,20200914,,78,39,male,1,own,,,9436,54,car,good,0.23129954376638195,Faixa 9
202009,20200914,,79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,0.42481754970314595,Faixa 4
202009,20200914,,80,44,female,2,own,,,5943,24,radio/TV,bad,0.370366335988879,Faixa 5
202009,20200914,,81,47,male,2,own,quite rich,,1213,15,radio/TV,good,0.20144146828153062,Faixa 10
202009,20200914,,82,24,female,1,rent,moderate,,1568,18,business,good,0.3681477111453838,Faixa 5
202009,20200914,,83,58,female,1,own,little,little,1755,24,vacation/others,good,0.573559879392127,Faixa 2
202009,20200914,,84,52,male,1,own,little,little,2315,10,radio/TV,good,0.28250307339095926,Faixa 7
202009,20200914,,85,29,female,3,own,little,,1412,12,business,good,0.275450231122409,Faixa 7
202009,20200914,,86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,0.5469802584409391,Faixa 2
202009,20200914,,87,47,male,2,free,moderate,moderate,12612,36,education,bad,0.6057434664683101,Faixa 1
202009,20200914,,88,30,male,3,own,moderate,little,2249,18,car,good,0.39366479366729556,Faixa 5
202009,20200914,,89,28,male,2,own,little,little,1108,12,repairs,bad,0.5264284236441421,Faixa 3
202009,20200914,,90,56,male,2,own,little,,618,12,radio/TV,good,0.23022051402152727,Faixa 9
202009,20200914,,91,54,male,2,own,little,little,1409,12,car,good,0.38582020969509906,Faixa 5
202009,20200914,,92,33,female,1,own,,,797,12,radio/TV,bad,0.2992483883619808,Faixa 7
202009,20200914,,93,20,male,2,rent,,rich,3617,24,furniture/equipment,good,0.27131363767425215,Faixa 8
202009,20200914,,94,54,male,2,own,rich,moderate,1318,12,car,good,0.31990465651312194,Faixa 6
202009,20200914,,95,58,male,2,rent,little,moderate,15945,54,business,bad,0.6423505170786294,Faixa 1
202009,20200914,,96,61,female,2,own,,,2012,12,education,good,0.196672964407167,Faixa 10
202009,20200914,,97,34,male,2,own,moderate,moderate,2622,18,business,good,0.3346287533648325,Faixa 6
202009,20200914,,98,36,male,2,own,little,moderate,2337,36,radio/TV,good,0.5656897151912693,Faixa 2
202009,20200914,,99,36,male,3,rent,,moderate,7057,20,car,good,0.3733328174894948,Faixa 5
202009,20200914,,100,41,male,1,rent,moderate,,1469,24,car,good,0.24402999335128925,Faixa 9
202009,20200914,,101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,0.5937213583411928,Faixa 2
202009,20200914,,102,24,female,2,own,little,,932,6,radio/TV,good,0.21945197220831436,Faixa 9
202009,20200914,,103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,0.352100660296968,Faixa 6
202009,20200914,,104,26,male,2,rent,,,2445,12,car,good,0.22188962880374402,Faixa 9
202009,20200914,,105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,0.6236612078457939,Faixa 1
202009,20200914,,106,39,male,3,own,little,,6458,18,car,bad,0.37930317214993153,Faixa 5
202009,20200914,,107,32,male,2,own,little,moderate,6078,12,car,good,0.41501753561268384,Faixa 4
202009,20200914,,108,30,female,2,own,,little,7721,24,furniture/equipment,good,0.44649224920010283,Faixa 4
202009,20200914,,109,35,male,2,own,quite rich,moderate,1410,14,business,good,0.33760182898438523,Faixa 6
202009,20200914,,110,31,male,2,own,moderate,moderate,1449,6,business,good,0.2720847452880664,Faixa 8
202009,20200914,,111,23,female,2,rent,little,rich,392,15,education,good,0.35039905728256654,Faixa 6
202009,20200914,,112,28,male,1,rent,little,moderate,6260,18,car,good,0.41439539558685834,Faixa 4
202009,20200914,,113,25,female,2,own,little,,7855,36,car,bad,0.46349073629690013,Faixa 4
202009,20200914,,114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,0.37646939903488863,Faixa 5
202009,20200914,,115,47,male,2,own,,,3578,48,radio/TV,good,0.19299569311590486,Faixa 10
202009,20200914,,116,30,female,3,own,,little,7174,42,radio/TV,bad,0.47188391178153943,Faixa 3
202009,20200914,,117,27,female,2,rent,,little,2132,10,furniture/equipment,good,0.3810342881945692,Faixa 5
202009,20200914,,118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,0.5319663977397493,Faixa 3
202009,20200914,,119,36,male,3,own,quite rich,moderate,2366,12,car,good,0.3233164491390848,Faixa 6
202009,20200914,,120,25,female,2,own,little,little,1835,21,radio/TV,bad,0.6082216689892865,Faixa 1
202009,20200914,,121,41,female,3,rent,little,,3868,24,car,good,0.25022188611493323,Faixa 8
202009,20200914,,122,24,male,1,rent,little,,1768,12,furniture/equipment,good,0.28252202218948447,Faixa 7
202009,20200914,,123,63,male,2,free,little,rich,781,10,car,good,0.3700652446843265,Faixa 5
202009,20200914,,124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad,0.4379850400766233,Faixa 4
202009,20200914,,125,30,male,2,own,little,little,2121,12,car,good,0.39712314953172567,Faixa 5
202009,20200914,,126,40,male,1,own,little,little,701,12,radio/TV,good,0.604774578453012,Faixa 1
202009,20200914,,127,30,male,2,own,little,moderate,639,12,repairs,bad,0.577707173013534,Faixa 2
202009,20200914,,128,34,male,3,own,little,moderate,1860,12,car,good,0.40319454037854474,Faixa 5
202009,20200914,,129,29,female,2,own,little,little,3499,12,car,bad,0.45708113984281384,Faixa 4
202009,20200914,,130,24,female,2,own,,moderate,8487,48,car,good,0.3977835043872422,Faixa 5
202009,20200914,,131,29,male,2,own,little,little,6887,36,education,bad,0.5636527894453331,Faixa 2
202009,20200914,,132,27,male,1,own,little,,2708,15,furniture/equipment,good,0.22597813571651237,Faixa 9
202009,20200914,,133,47,male,2,free,little,,1984,18,furniture/equipment,good,0.27557242135978127,Faixa 7
202009,20200914,,134,21,female,2,own,moderate,,10144,60,radio/TV,good,0.38664401146833577,Faixa 5
202009,20200914,,135,38,female,2,own,,,1240,12,radio/TV,good,0.22497831172389068,Faixa 9
202009,20200914,,136,27,male,2,own,rich,,8613,27,car,good,0.3314950694291236,Faixa 6
202009,20200914,,137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,0.40304751836926667,Faixa 5
202009,20200914,,138,35,male,2,own,,moderate,2728,15,radio/TV,good,0.2830000381345618,Faixa 7
202009,20200914,,139,44,female,1,rent,little,rich,1881,12,radio/TV,good,0.3496576261940351,Faixa 6
202009,20200914,,140,27,male,0,own,rich,rich,709,6,car,good,0.26507087085214365,Faixa 8
202009,20200914,,141,30,female,3,own,little,moderate,4795,36,radio/TV,good,0.5539124977799039,Faixa 2
202009,20200914,,142,27,male,3,own,little,little,3416,27,radio/TV,good,0.495176188132282,Faixa 3
202009,20200914,,143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,0.5411571057565473,Faixa 2
202009,20200914,,144,23,female,2,own,little,,2288,21,furniture/equipment,good,0.33893161371326613,Faixa 6
202009,20200914,,145,30,male,2,own,moderate,moderate,3566,48,business,good,0.5789267730494218,Faixa 2
202009,20200914,,146,39,female,2,own,little,little,860,6,car,good,0.3014703907378223,Faixa 7
202009,20200914,,147,51,female,2,own,moderate,,682,12,car,good,0.23354109260255104,Faixa 9
202009,20200914,,148,28,male,2,own,little,little,5371,36,furniture/equipment,good,0.5538504036957647,Faixa 2
202009,20200914,,149,46,male,2,own,rich,,1582,18,radio/TV,good,0.2529269903990805,Faixa 8
202009,20200914,,150,42,male,2,free,moderate,,1346,6,radio/TV,good,0.1810327653282006,Faixa 10
202009,20200914,,151,38,male,2,own,little,,1924,10,radio/TV,good,0.20897964986268203,Faixa 10
202009,20200914,,152,24,male,2,own,little,rich,5848,36,radio/TV,good,0.36130099203467725,Faixa 6
202009,20200914,,153,29,female,2,rent,rich,moderate,7758,24,car,good,0.4038902694863106,Faixa 5
202009,20200914,,154,36,male,3,rent,moderate,moderate,6967,24,business,good,0.43772761495689266,Faixa 4
202009,20200914,,155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad,0.5471362189191699,Faixa 2
202009,20200914,,156,48,male,2,own,moderate,little,1288,9,repairs,good,0.2963569102869158,Faixa 7
202009,20200914,,157,45,male,1,own,little,little,339,12,education,good,0.41623903797305345,Faixa 4
202009,20200914,,158,38,male,2,own,moderate,moderate,3512,24,car,good,0.34742392552163537,Faixa 6
202009,20200914,,159,34,male,1,own,,,1898,6,radio/TV,good,0.16357435173840829,Faixa 10
202009,20200914,,160,36,male,2,own,moderate,,2872,24,radio/TV,good,0.21353105655900464,Faixa 10
202009,20200914,,161,30,female,2,own,little,,1055,18,car,good,0.2804497625433513,Faixa 7
202009,20200914,,162,36,male,2,own,quite rich,,1262,15,domestic appliances,good,0.2222554681341983,Faixa 9
202009,20200914,,163,70,male,3,free,little,moderate,7308,10,car,good,0.45270204734931924,Faixa 4
202009,20200914,,164,36,male,2,own,quite rich,,909,36,car,good,0.23958004658183887,Faixa 9
202009,20200914,,165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good,0.19566495027903286,Faixa 10
202009,20200914,,166,33,female,2,own,little,little,1131,18,furniture/equipment,bad,0.635320303398798,Faixa 1
202009,20200914,,167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good,0.3656698476379138,Faixa 5
202009,20200914,,168,25,female,2,rent,little,,3972,24,furniture/equipment,good,0.2980541693080537,Faixa 7
202009,20200914,,169,31,male,2,own,little,moderate,1935,24,business,bad,0.564428105848966,Faixa 2
202009,20200914,,170,33,male,2,rent,little,little,950,15,car,bad,0.5737084315709652,Faixa 2
202009,20200914,,171,26,female,2,own,little,,763,12,furniture/equipment,good,0.2772664380243211,Faixa 7
202009,20200914,,172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad,0.5584768038897654,Faixa 2
202009,20200914,,173,33,male,2,own,little,moderate,1414,8,radio/TV,good,0.3612711519828578,Faixa 6
202009,20200914,,174,26,male,2,own,little,little,3414,21,education,bad,0.5635039467673147,Faixa 2
202009,20200914,,175,53,female,3,own,,,7485,30,car,bad,0.39955140690549784,Faixa 5
202009,20200914,,176,42,male,2,own,little,little,2577,12,furniture/equipment,good,0.39808790362841606,Faixa 5
202009,20200914,,177,52,male,2,own,quite rich,little,338,6,radio/TV,good,0.26852948230344437,Faixa 8
202009,20200914,,178,31,male,3,rent,little,,1963,12,radio/TV,good,0.25124140634975445,Faixa 8
202009,20200914,,179,65,male,2,own,little,little,571,21,car,good,0.3943784054545193,Faixa 5
202009,20200914,,180,28,male,2,own,little,,9572,36,business,bad,0.4336797420216442,Faixa 4
202009,20200914,,181,30,male,3,own,little,moderate,4455,36,business,bad,0.5526188666549305,Faixa 2
202009,20200914,,182,40,male,1,own,,little,1647,21,car,bad,0.48852422846194904,Faixa 3
202009,20200914,,183,50,male,2,own,rich,,3777,24,furniture/equipment,good,0.19486365922212406,Faixa 10
202009,20200914,,184,36,male,2,own,little,moderate,884,18,car,bad,0.6013989537313409,Faixa 1
202009,20200914,,185,31,male,2,own,little,,1360,15,radio/TV,good,0.2353205829642984,Faixa 9
202009,20200914,,186,74,female,3,free,little,moderate,5129,9,car,bad,0.5201158693831602,Faixa 3
202009,20200914,,187,68,male,0,free,little,moderate,1175,16,car,good,0.475635585219808,Faixa 3
202009,20200914,,188,20,male,2,own,moderate,little,674,12,radio/TV,bad,0.6104316626465489,Faixa 1
202009,20200914,,189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good,0.4020155222395725,Faixa 5
202009,20200914,,190,54,male,3,own,rich,,4591,24,business,bad,0.37334552736431365,Faixa 5
202009,20200914,,191,34,male,1,free,moderate,moderate,3844,48,business,bad,0.5282989999491123,Faixa 3
202009,20200914,,192,36,male,2,own,little,moderate,3915,27,business,bad,0.4907071640095933,Faixa 3
202009,20200914,,193,29,male,2,rent,little,,2108,6,radio/TV,good,0.20161105884953004,Faixa 10
202009,20200914,,194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad,0.5948253838706771,Faixa 1
202009,20200914,,195,34,female,3,own,little,moderate,1501,9,education,bad,0.4548656405356965,Faixa 4
202009,20200914,,196,28,female,2,own,little,,1382,6,radio/TV,good,0.21188137975633156,Faixa 10
202009,20200914,,197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad,0.5363359147476904,Faixa 3
202009,20200914,,198,36,male,2,free,,moderate,2760,24,car,good,0.31428625312257463,Faixa 7
202009,20200914,,199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad,0.45921648732172354,Faixa 4
202009,20200914,,200,52,male,2,own,quite rich,,936,9,education,good,0.18768987232742912,Faixa 10
202009,20200914,,201,27,male,1,own,little,little,1168,12,car,good,0.4915619016582424,Faixa 3
202009,20200914,,202,26,male,2,own,little,,5117,27,business,good,0.29024944430847344,Faixa 7
202009,20200914,,203,21,male,2,rent,little,little,902,12,education,bad,0.6135896135928741,Faixa 1
202009,20200914,,204,38,male,1,own,little,,1495,12,car,good,0.23435679899003264,Faixa 9
202009,20200914,,205,38,male,3,free,little,little,10623,30,car,good,0.5385782478299281,Faixa 3
202009,20200914,,206,43,male,2,own,little,,1935,12,furniture/equipment,good,0.22680470023080307,Faixa 9
202009,20200914,,207,26,male,2,own,little,moderate,1424,12,domestic appliances,good,0.38346904462894615,Faixa 5
202009,20200914,,208,21,male,1,own,little,little,6568,24,business,good,0.4769908343517135,Faixa 3
202009,20200914,,209,55,male,2,own,rich,,1413,12,car,good,0.20686864172375266,Faixa 10
202009,20200914,,210,33,male,2,own,,,3074,9,radio/TV,good,0.17659574684079934,Faixa 10
202009,20200914,,211,45,female,1,own,,,3835,36,radio/TV,good,0.22125168032100578,Faixa 9
202009,20200914,,212,50,male,2,own,little,little,5293,27,business,bad,0.558270865248501,Faixa 2
202009,20200914,,213,66,male,3,own,little,rich,1908,30,business,bad,0.4878718841958824,Faixa 3
202009,20200914,,214,51,male,2,own,,,3342,36,radio/TV,good,0.1992952356607254,Faixa 10
202009,20200914,,215,39,female,1,own,,moderate,932,6,education,good,0.2468248608497177,Faixa 8
202009,20200914,,216,31,male,2,own,little,little,3104,18,business,good,0.4415355380187259,Faixa 4
202009,20200914,,217,23,male,2,own,little,rich,3913,36,radio/TV,good,0.42422349810404064,Faixa 4
202009,20200914,,218,24,male,1,rent,little,little,3021,24,furniture/equipment,good,0.5488259802528482,Faixa 2
202009,20200914,,219,64,female,2,own,little,,1364,10,car,good,0.19533476098153996,Faixa 10
202009,20200914,,220,26,male,1,own,little,moderate,625,12,radio/TV,good,0.558805679989475,Faixa 2
202009,20200914,,221,23,female,2,rent,,little,1200,12,education,good,0.4487579453571341,Faixa 4
202009,20200914,,222,30,male,2,own,little,,707,12,radio/TV,good,0.25979922867833244,Faixa 8
202009,20200914,,223,32,male,2,own,,,2978,24,business,good,0.23536941183792373,Faixa 9
202009,20200914,,224,30,male,2,own,little,,4657,15,car,good,0.31631401164178,Faixa 6
202009,20200914,,225,27,male,2,own,little,,2613,36,repairs,good,0.2557594446490929,Faixa 8
202009,20200914,,226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad,0.5335730634287292,Faixa 3
202009,20200914,,227,53,male,3,free,little,little,7865,12,furniture/equipment,bad,0.5560542415538936,Faixa 2
202009,20200914,,228,22,male,2,own,little,,1478,9,radio/TV,bad,0.33222420787291246,Faixa 6
202009,20200914,,229,22,male,2,free,little,little,3149,24,furniture/equipment,good,0.5550938760516552,Faixa 2
202009,20200914,,230,26,male,2,own,little,rich,4210,36,radio/TV,bad,0.4946851235396997,Faixa 3
202009,20200914,,231,51,male,1,free,quite rich,,2507,9,car,good,0.19458228395690308,Faixa 10
202009,20200914,,232,35,male,2,own,moderate,,2141,12,radio/TV,good,0.2026329625738085,Faixa 10
202009,20200914,,233,25,male,1,own,little,moderate,866,18,radio/TV,good,0.5951671520871873,Faixa 1
202009,20200914,,234,42,male,1,own,little,,1544,4,radio/TV,good,0.1962967819925187,Faixa 10
202009,20200914,,235,30,male,3,own,little,little,1823,24,radio/TV,bad,0.598903387740643,Faixa 1
202009,20200914,,236,23,male,0,own,,moderate,14555,6,car,bad,0.42492613174930705,Faixa 4
202009,20200914,,237,61,male,1,rent,moderate,moderate,2767,21,business,bad,0.4461142819237387,Faixa 4
202009,20200914,,238,35,female,2,own,little,,1291,12,radio/TV,good,0.22123175158332742,Faixa 9
202009,20200914,,239,39,male,2,own,little,little,2522,30,radio/TV,good,0.6150790200069434,Faixa 1
202009,20200914,,240,29,female,2,own,,little,915,24,car,bad,0.5441721343573565,Faixa 2
202009,20200914,,241,51,male,2,own,little,,1595,6,radio/TV,good,0.15776485156570558,Faixa 10
202009,20200914,,242,24,male,2,free,little,little,4605,48,car,bad,0.6262027882333812,Faixa 1
202009,20200914,,243,27,female,2,own,little,,1185,12,business,good,0.2703673505261175,Faixa 8
202009,20200914,,244,35,female,1,own,quite rich,,3447,12,education,good,0.19740202638766102,Faixa 10
202009,20200914,,245,25,male,2,own,little,,1258,24,business,good,0.25444024755372485,Faixa 8
202009,20200914,,246,52,male,2,own,little,,717,12,radio/TV,good,0.2396288889509955,Faixa 9
202009,20200914,,247,35,male,2,rent,moderate,,1204,6,car,good,0.18547705045557147,Faixa 10
202009,20200914,,248,26,male,2,own,little,rich,1925,24,furniture/equipment,good,0.5589262464603083,Faixa 2
202009,20200914,,249,22,female,2,rent,little,,433,18,radio/TV,bad,0.4074802127226366,Faixa 5
202009,20200914,,250,39,female,1,own,rich,little,666,6,car,good,0.25572641767839605,Faixa 8
202009,20200914,,251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,0.2694015090148968,Faixa 8
202009,20200914,,252,24,female,2,own,little,moderate,2150,30,car,bad,0.592438918878308,Faixa 2
202009,20200914,,253,35,male,2,own,moderate,,4151,24,furniture/equipment,good,0.25271202235964174,Faixa 8
202009,20200914,,254,24,male,2,own,,moderate,2030,9,furniture/equipment,good,0.32685415675710855,Faixa 6
202009,20200914,,255,27,male,1,own,,moderate,7418,60,radio/TV,good,0.35597735167840205,Faixa 6
202009,20200914,,256,35,male,1,own,little,,2684,24,radio/TV,good,0.23455908298310316,Faixa 9
202009,20200914,,257,29,male,2,free,little,little,2149,12,radio/TV,bad,0.4940752508635569,Faixa 3
202009,20200914,,258,23,female,2,own,moderate,,3812,15,car,good,0.2333913933167665,Faixa 9
202009,20200914,,259,57,female,1,own,moderate,,1154,11,radio/TV,good,0.209859543913172,Faixa 10
202009,20200914,,260,27,male,2,own,little,little,1657,12,furniture/equipment,good,0.4358432703116311,Faixa 4
202009,20200914,,261,55,female,2,own,little,little,1603,24,radio/TV,good,0.601453961723056,Faixa 1
202009,20200914,,262,36,male,3,free,little,little,5302,18,car,good,0.46357390179251573,Faixa 4
202009,20200914,,263,57,female,1,free,little,,2748,12,education,good,0.2131443522947319,Faixa 10
202009,20200914,,264,32,male,1,own,little,,1231,10,car,good,0.25438945553447734,Faixa 8
202009,20200914,,265,37,male,2,own,little,moderate,802,15,radio/TV,bad,0.5399437196210047,Faixa 2
202009,20200914,,266,36,male,2,own,,,6304,36,business,good,0.23397766004288978,Faixa 9
202009,20200914,,267,38,female,2,own,little,,1533,24,radio/TV,good,0.24488231297768476,Faixa 8
202009,20200914,,268,45,male,3,own,little,little,8978,14,car,bad,0.5864642061420279,Faixa 2
202009,20200914,,269,25,male,2,own,,,999,24,radio/TV,good,0.2332483431749416,Faixa 9
202009,20200914,,270,32,male,2,own,,,2662,18,car,good,0.22684455302168832,Faixa 9
202009,20200914,,271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good,0.2522915462768728,Faixa 8
202009,20200914,,272,36,male,3,free,,moderate,12169,48,car,good,0.36986102163749723,Faixa 5
202009,20200914,,273,28,male,2,own,little,moderate,3060,48,radio/TV,bad,0.6059137971214069,Faixa 1
202009,20200914,,274,34,male,1,own,little,little,11998,30,repairs,bad,0.5946247526071415,Faixa 2
