atributo;descricao;tipo;importancia;porcentagem_null;qtd_categorias
weaptype3;Código que define um terceiro tipo de arma/artefato presente no ataque;qualitativo;baixa;0.99;10
weaptype3_txt;Terceiro tipo de arma/artefato presente no ataque;qualitativo;baixa;0.99;10
weapsubtype3;Código de um terceiro subtipo da arma/artefato presente no ataque;qualitativo;baixa;0.99;22
weapsubtype3_txt;Terceiro subtipo da arma/artefato presente no ataque;qualitativo;baixa;0.99;22
weaptype4;Código que define um quarto tipo de arma/artefato presente no ataque;qualitativo;baixa;1.0;5
weaptype4_txt;Quarto tipo de arma/artefato presente no ataque;qualitativo;baixa;1.0;5
weapsubtype4;Código de um quarto subtipo da arma/artefato presente no ataque;qualitativo;baixa;1.0;16
weapsubtype4_txt;Quarto subtipo da arma/artefato presente no ataque;qualitativo;baixa;1.0;16
weapdetail;Detalhes da arma/artefato presente no ataque;qualitativo;baixa;0.37;19148
nkill;Número confirmado de mortos no incidente relatado;quantitativo;alta;0.06;205
nkillus;Número de cidadãos americanos mortos no incidente relatado;quantitativo;media;0.35;31
nkillter;sem informações, porém provavelmente indica o número de terroristas mortos no ataque;quantitativo;alta;0.37;96
nwound;Número confirmado de vítimas não-fatais do atentado;quantitativo;alta;0.09;238
nwoundus;Número confirmado de cidadãos americanos vítimas não-fatais do atentado;quantitativo;media;0.36;44
nwoundte;Número confirmado de terroristas vítimas não-fatais do atentado;quantitativo;alta;0.38;44
property;sem informações;qualitativo;baixa;0.0;3
propextent;sem informações;qualitativo;baixa;0.65;4
propextent_txt;sem informações, mas provavelmente este atributo descreve a extensão do atentado;qualitativo;media;0.65;4
propvalue;sem informações;qualitativo;baixa;0.79;659
propcomment;sem informações, mas traz comentários a respeito da proporção do atentado;qualitativo;media;0.68;19157
ishostkid;sem informações, mas provavelmente trata-se de um flag que indica se houve crianças reféns;qualitativo;alta;0.0;3
nhostkid;sem informações, mas provavelmente trata-se de um flag que indica se houve crianças reféns;quantitativo;alta;0.93;209
nhostkidus;sem informações, mas provavelmente trata-se de um flag que indica se houve crianças americanas reféns;quantitativo;baixa;0.93;27
nhours;sem informações;qualitativo;baixa;0.98;35
ndays;sem informações;qualitativo;baixa;0.96;328
divert;sem informações;qualitativo;baixa;1.0;143
kidhijcountry;sem informações;qualitativo;baixa;0.98;217
ransom;sem informações;qualitativo;baixa;0.57;3
ransomamt;sem informações;qualitativo;baixa;0.99;429
ransomamtus;sem informações;qualitativo;baixa;1.0;23
ransompaid;sem informações;qualitativo;baixa;1.0;156
ransompaidus;sem informações;qualitativo;baixa;1.0;8
ransomnote;sem informações;qualitativo;baixa;1.0;387
hostkidoutcome;sem informações;quantitativo;baixa;0.94;7
hostkidoutcome_txt;sem informações;quantitativo;baixa;0.94;7
nreleased;sem informações;qualitativo;baixa;0.94;156
addnotes;sem informações;qualitativo;baixa;0.84;15429
scite1;sem informações;qualitativo;baixa;0.36;83988
scite2;sem informações;qualitativo;baixa;0.58;62263
scite3;sem informações;qualitativo;baixa;0.76;36090
dbsource;sem informações, porém provavelmente descreve a fonte do Banco de Dados;qualitativo;baixa;0.0;26
INT_LOG;sem informações;qualitativo;baixa;0.0;3
INT_IDEO;sem informações;qualitativo;baixa;0.0;3
INT_MISC;sem informações;qualitativo;baixa;0.0;3
INT_ANY;sem informações;qualitativo;baixa;0.0;3
related;sem informações;qualitativo;baixa;0.86;14306
